Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,10/09/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,11/09/2020 00:00,6.8,ug/m3,P
KF1,PM2.5,12/09/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,13/09/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,14/09/2020 00:00,10.9,ug/m3,P
KF1,PM2.5,15/09/2020 00:00,23.7,ug/m3,P
KF1,PM2.5,16/09/2020 00:00,13.5,ug/m3,P
KF1,PM2.5,17/09/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,18/09/2020 00:00,5.3,ug/m3,P
KF1,PM2.5,19/09/2020 00:00,6.3,ug/m3,P
KF1,PM2.5,20/09/2020 00:00,7.1,ug/m3,P
KF1,PM2.5,21/09/2020 00:00,11.5,ug/m3,P
KF1,PM2.5,22/09/2020 00:00,12.0,ug/m3,P
KF1,PM2.5,23/09/2020 00:00,4.9,ug/m3,P
KF1,PM2.5,24/09/2020 00:00,2.7,ug/m3,P
KF1,PM2.5,25/09/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,26/09/2020 00:00,3.9,ug/m3,P
KF1,PM2.5,27/09/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,28/09/2020 00:00,6.9,ug/m3,P
KF1,PM2.5,29/09/2020 00:00,7.8,ug/m3,P
KF1,PM2.5,30/09/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,01/10/2020 00:00,3.8,ug/m3,P
KF1,PM2.5,02/10/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,03/10/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,04/10/2020 00:00,1.9,ug/m3,P
KF1,PM2.5,05/10/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,06/10/2020 00:00,3.1,ug/m3,P
KF1,PM2.5,07/10/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,08/10/2020 00:00,4.0,ug/m3,P
KF1,PM2.5,09/10/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,10/10/2020 00:00,3.5,ug/m3,P
KF1,PM2.5,11/10/2020 00:00,4.3,ug/m3,P
KF1,PM2.5,12/10/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,13/10/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,14/10/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,15/10/2020 00:00,3.9,ug/m3,P
KF1,PM2.5,16/10/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,17/10/2020 00:00,6.2,ug/m3,P
KF1,PM2.5,18/10/2020 00:00,11.7,ug/m3,P
KF1,PM2.5,19/10/2020 00:00,10.1,ug/m3,P
KF1,PM2.5,20/10/2020 00:00,9.4,ug/m3,P
KF1,PM2.5,21/10/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,22/10/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,23/10/2020 00:00,4.6,ug/m3,P
KF1,PM2.5,24/10/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,25/10/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,26/10/2020 00:00,5.4,ug/m3,P
KF1,PM2.5,27/10/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,28/10/2020 00:00,5.3,ug/m3,P
KF1,PM2.5,29/10/2020 00:00,5.4,ug/m3,P
KF1,PM2.5,30/10/2020 00:00,3.5,ug/m3,P
KF1,PM2.5,31/10/2020 00:00,6.4,ug/m3,P
KF1,PM2.5,01/11/2020 00:00,5.9,ug/m3,P
KF1,PM2.5,02/11/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,03/11/2020 00:00,5.0,ug/m3,P
KF1,PM2.5,04/11/2020 00:00,12.7,ug/m3,P
KF1,PM2.5,05/11/2020 00:00,38.4,ug/m3,P
KF1,PM2.5,06/11/2020 00:00,37.7,ug/m3,P
KF1,PM2.5,07/11/2020 00:00,26.9,ug/m3,P
KF1,PM2.5,08/11/2020 00:00,30.1,ug/m3,P
KF1,PM2.5,09/11/2020 00:00,10.4,ug/m3,P
KF1,PM2.5,10/11/2020 00:00,7.6,ug/m3,P
KF1,PM2.5,11/11/2020 00:00,5.6,ug/m3,P
KF1,PM2.5,12/11/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,13/11/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,14/11/2020 00:00,7.4,ug/m3,P
KF1,PM2.5,15/11/2020 00:00,3.9,ug/m3,P
KF1,PM2.5,16/11/2020 00:00,4.9,ug/m3,P
KF1,PM2.5,17/11/2020 00:00,5.0,ug/m3,P
